,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,203521.0,00,0.0,303.0,86.0,22.3,2.2,5.6,0.393,1.0,2.7,0.389,0.7,0.9,0.834,0.4,1.5,1.9,3.7,0.5,0.1,1.3,2.1,6.2
0,2736.0,00,0.0,880.0,826.0,34.7,5.8,12.7,0.455,0.7,2.2,0.332,2.7,3.6,0.77,1.6,4.5,6.1,2.3,1.0,0.5,1.6,1.7,15.0
0,1627767.0,00,0.0,24.0,0.0,11.0,1.9,3.8,0.489,0.0,0.0,0.0,0.7,1.0,0.68,1.2,2.8,4.0,0.2,0.2,0.3,0.4,1.2,4.5
0,203476.0,00,0.0,308.0,185.0,26.2,3.4,6.6,0.511,0.1,0.3,0.333,2.0,2.5,0.785,2.3,4.9,7.1,1.6,0.9,1.2,1.4,2.6,8.8
0,203915.0,00,0.0,117.0,21.0,18.9,2.1,5.3,0.388,0.6,1.8,0.319,1.7,2.2,0.787,0.4,1.9,2.3,3.2,0.7,0.2,1.0,1.8,6.4
0,1628416.0,00,0.0,6.0,0.0,5.6,0.5,1.7,0.3,0.3,1.2,0.286,0.3,0.3,1.0,0.0,0.5,0.5,0.3,0.0,0.0,0.7,0.2,1.7
0,1628422.0,00,0.0,7.0,0.0,7.6,1.4,2.9,0.5,0.3,1.0,0.286,0.1,0.1,1.0,0.3,1.4,1.7,0.6,0.0,0.0,0.4,0.7,3.3
0,201609.0,00,0.0,659.0,423.0,27.7,5.0,10.5,0.471,1.1,3.0,0.363,2.4,3.2,0.757,0.8,2.2,3.0,4.8,1.0,0.2,2.3,2.3,13.5
0,203083.0,00,0.0,397.0,347.0,29.9,5.8,10.5,0.548,0.0,0.0,0.263,1.8,4.6,0.388,4.7,8.3,12.9,0.8,1.3,1.5,1.6,3.1,13.3
0,201162.0,00,0.0,745.0,260.0,23.9,3.0,6.4,0.469,1.1,2.7,0.397,1.2,1.6,0.731,1.0,2.4,3.4,1.6,0.9,0.2,0.9,1.9,8.2
0,1627739.0,00,0.0,85.0,7.0,17.8,1.8,4.6,0.387,0.3,1.1,0.286,0.5,0.8,0.615,0.3,2.0,2.3,2.5,1.1,0.5,1.3,2.4,4.3
0,201142.0,00,0.0,715.0,715.0,37.3,9.2,18.8,0.488,1.8,4.7,0.381,7.0,7.9,0.882,0.8,6.4,7.2,3.8,1.2,1.1,3.2,1.9,27.2
0,1627740.0,00,0.0,24.0,2.0,8.7,1.5,4.0,0.368,0.6,2.1,0.3,0.2,0.4,0.556,0.4,2.0,2.3,0.4,0.1,0.0,0.8,0.5,3.8
0,201961.0,00,0.0,527.0,125.0,20.1,2.8,6.8,0.411,1.2,3.1,0.377,0.7,0.8,0.85,0.3,1.8,2.1,1.1,0.5,0.1,0.7,1.1,7.5
0,203954.0,00,0.0,41.0,41.0,26.0,6.7,14.2,0.472,1.0,3.1,0.336,5.7,7.3,0.785,1.9,6.5,8.4,2.4,1.0,2.2,4.0,3.5,20.1
0,203898.0,00,0.0,140.0,10.0,12.2,1.7,4.0,0.417,0.4,1.1,0.333,0.4,0.5,0.786,0.2,0.9,1.2,1.9,0.5,0.1,1.0,1.2,4.1
